file_id,path,first_seen,last_seen,commit_count,touches,bus_factor,sensitivity_score,sensitivity_tags
public/assets/perinade/gallery-tiger.png,public/assets/perinade/gallery-tiger.png,2026-02-27T19:54:36+01:00,2026-02-27T19:54:36+01:00,1,1,1,0.00,
public/assets/perinade/gallery-tiger.svg,public/assets/perinade/gallery-tiger.svg,2026-02-27T19:54:36+01:00,2026-02-27T19:54:36+01:00,1,1,1,0.00,
public/assets/perinade/gallery-vines-close.png,public/assets/perinade/gallery-vines-close.png,2026-02-27T19:54:36+01:00,2026-02-27T19:54:36+01:00,1,1,1,0.00,
public/assets/perinade/hero-deck/balade-vignes.png,public/assets/perinade/hero-deck/balade-vignes.png,2026-02-27T19:54:36+01:00,2026-02-27T19:54:36+01:00,1,1,1,0.00,
public/assets/perinade/hero-deck/cuvees-exception.png,public/assets/perinade/hero-deck/cuvees-exception.png,2026-02-27T19:54:36+01:00,2026-02-27T19:54:36+01:00,1,1,1,0.00,
public/assets/perinade/hero-deck/visite-caveau.png,public/assets/perinade/hero-deck/visite-caveau.png,2026-02-27T19:54:36+01:00,2026-02-27T19:54:36+01:00,1,1,1,0.00,
public/assets/perinade/hero-vineyard.png,public/assets/perinade/hero-vineyard.png,2026-02-27T19:54:36+01:00,2026-02-27T19:54:36+01:00,1,1,1,0.00,
public/assets/perinade/history-family.png,public/assets/perinade/history-family.png,2026-02-27T19:54:36+01:00,2026-02-27T19:54:36+01:00,1,1,1,0.00,
public/assets/perinade/logo.png,public/assets/perinade/logo.png,2026-02-27T19:54:36+01:00,2026-02-27T19:54:36+01:00,1,1,1,0.00,
public/assets/perinade/shop/img-1.png,public/assets/perinade/shop/img-1.png,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,1,1,1,0.00,
public/assets/perinade/shop/img-2.png,public/assets/perinade/shop/img-2.png,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,1,1,1,0.00,
public/assets/perinade/shop/img-3.png,public/assets/perinade/shop/img-3.png,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,1,1,1,0.00,
public/assets/perinade/shop/img-4.png,public/assets/perinade/shop/img-4.png,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,1,1,1,0.00,
public/assets/perinade/shop/img-5.png,public/assets/perinade/shop/img-5.png,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,1,1,1,0.00,
public/assets/perinade/shop/img-6.png,public/assets/perinade/shop/img-6.png,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,1,1,1,0.00,
public/assets/perinade/shop/img-7.png,public/assets/perinade/shop/img-7.png,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,1,1,1,0.00,
public/assets/perinade/shop/package.png,public/assets/perinade/shop/package.png,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,1,1,1,0.00,
public/assets/perinade/visits/extended-pool.jpg,public/assets/perinade/visits/extended-pool.jpg,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,1,1,1,0.00,
public/assets/perinade/visits/final-cta-bg.jpg,public/assets/perinade/visits/final-cta-bg.jpg,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,1,1,1,0.00,
public/assets/perinade/visits/hero-grapes.jpg,public/assets/perinade/visits/hero-grapes.jpg,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,1,1,1,0.00,
public/assets/perinade/visits/pairing-board.jpg,public/assets/perinade/visits/pairing-board.jpg,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,1,1,1,0.00,
public/assets/perinade/visits/step-1.jpg,public/assets/perinade/visits/step-1.jpg,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,1,1,1,0.00,
public/assets/perinade/visits/step-2.jpg,public/assets/perinade/visits/step-2.jpg,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,1,1,1,0.00,
public/assets/perinade/visits/step-3.jpg,public/assets/perinade/visits/step-3.jpg,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,1,1,1,0.00,
public/assets/perinade/visits/step-4.jpg,public/assets/perinade/visits/step-4.jpg,2026-02-28T00:20:50+01:00,2026-02-28T00:20:50+01:00,1,1,1,0.00,
